Index,phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
3990,3,20968,968,0.0101792,0.010179175,0.0100636,0.01000295,0.01000295,0.01000295
3991,3,29699,9699,0.01027215,0.0,0.010090075,0.010029425,0.010029425,0.010029425
3992,3,29745,9745,0.0,0.0,0.010090225,0.010029575,0.010029575,0.010029575
3993,3,29752,9752,0.01027225,0.01009175,0.01009025,0.0100296,0.0100296,0.0100296
3994,3,29764,9764,0.0102458,0.0,0.010090275,0.010029625,0.010029625,0.010029625
3995,3,20980,980,0.0,0.0,0.01006365,0.010003,0.010003,0.010002975
3996,3,29843,9843,0.0102726,0.0,0.010090525,0.010029875,0.010029875,0.010029875
3997,3,29889,9889,0.0,0.0,0.010090675,0.010030025,0.010030025,0.01003
3998,3,29896,9896,0.0102727,0.0,0.010090675,0.010030025,0.010030025,0.010030025
3999,3,29908,9908,0.0102728,0.0,0.010090725,0.010030075,0.010030075,0.010030075
4000,3,29987,9987,0.0,0.010091025,0.01009095,0.0100303,0.0100303,0.0100303
4001,3,28991,11009,0.010180475,0.01009405,0.010087925,0.0100334,0.0100334,0.010033375
4002,3,28973,11027,0.01018035,0.01018035,0.010087875,0.01003345,0.01003345,0.010033425
4003,3,28955,11045,0.01018025,0.01018025,0.010087825,0.0100335,0.0100335,0.0100335
4004,3,28937,11063,0.010180125,0.010094225,0.010087775,0.01003355,0.01003355,0.01003355
4005,3,28919,11081,0.010180025,0.010094275,0.010087725,0.0100336,0.0100336,0.0100336
4006,3,28901,11099,0.0101799,0.010094325,0.01008765,0.01003365,0.01003365,0.01003365
4007,3,29891,10109,0.01018605,0.01018605,0.010090675,0.01003065,0.01003065,0.01003065
4008,3,28883,11117,0.0101798,0.0101798,0.0100876,0.010033725,0.010033725,0.0100337
4009,3,28865,11135,0.010179675,0.010179675,0.01008755,0.010033775,0.010033775,0.010033775
4010,3,28847,11153,0.010179575,0.0100945,0.0100875,0.010033825,0.010033825,0.010033825
4011,3,28829,11171,0.01017945,0.01009455,0.01008745,0.010033875,0.010033875,0.010033875
4012,3,28811,11189,0.01017935,0.0100946,0.0100874,0.010033925,0.010033925,0.010033925
4013,3,28793,11207,0.01017925,0.01017925,0.010087325,0.010034,0.010034,0.010033975
4014,3,28775,11225,0.010179125,0.010179125,0.010087275,0.01003405,0.01003405,0.010034025
