phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
3,22840,2840,0.010130475,0.01013045,0.010069275,0.010008625,0.010008625,0.010008625
3,22852,2852,0.010451625,0.010327325,0.010069325,0.010008675,0.010008675,0.010008675
3,22931,2931,0.010452125,0.010327825,0.01006955,0.0100089,0.0100089,0.0100089
3,22977,2977,0.0,0.0,0.0100697,0.01000905,0.01000905,0.01000905
3,22984,2984,0.010130875,0.010130875,0.010069725,0.010009075,0.010009075,0.010009075
3,22996,2996,0.0104525,0.010328225,0.01006975,0.0100091,0.0100091,0.0100091
3,23075,3075,0.010453025,0.010328725,0.01007,0.01000935,0.01000935,0.01000935
3,23121,3121,0.0,0.0,0.01007015,0.010009475,0.010009475,0.010009475
3,23128,3128,0.0101313,0.0101313,0.01007015,0.0100095,0.0100095,0.0100095
3,23140,3140,0.0104534,0.0103291,0.0100702,0.01000955,0.01000955,0.01000955
3,23219,3219,0.010453925,0.0103296,0.010070425,0.010009775,0.010009775,0.010009775
3,23265,3265,0.01032975,0.0,0.010070575,0.010009925,0.010009925,0.010009925
3,23272,3272,0.010131725,0.010131725,0.0100706,0.01000995,0.01000995,0.01000995
3,23284,3284,0.0104543,0.01033,0.010070625,0.010009975,0.010009975,0.010009975
3,23363,3363,0.0104548,0.0103305,0.010070875,0.010010225,0.010010225,0.010010225
3,20339,339,0.010246825,0.010246825,0.0100617,0.01000105,0.01000105,0.01000105
3,23409,3409,0.01033065,0.0,0.010071025,0.01001035,0.01001035,0.01001035
3,23416,3416,0.01013215,0.01013215,0.010071025,0.010010375,0.010010375,0.010010375
3,23428,3428,0.0104552,0.010330875,0.010071075,0.010010425,0.010010425,0.0100104
3,23507,3507,0.0104557,0.010331375,0.0100713,0.01001065,0.01001065,0.01001065
3,23553,3553,0.010331525,0.0,0.01007145,0.0100108,0.0100108,0.0100108
3,23560,3560,0.010132575,0.010132575,0.010071475,0.0100108,0.0100108,0.0100108
3,23572,3572,0.010456075,0.010331775,0.0100715,0.01001085,0.01001085,0.01001085
3,23651,3651,0.010456575,0.010332275,0.01007175,0.0100111,0.0100111,0.0100111
3,23697,3697,0.0,0.0,0.010071875,0.010011225,0.010011225,0.010011225
3,23704,3704,0.010133,0.010133,0.0100719,0.01001125,0.01001125,0.01001125
3,23716,3716,0.010456975,0.010456975,0.01007195,0.010011275,0.010011275,0.010011275
3,23795,3795,0.01033325,0.010457475,0.010072175,0.010011525,0.010011525,0.010011525
3,23841,3841,0.0,0.0,0.010072325,0.010011675,0.010011675,0.010011675
3,23848,3848,0.010133425,0.010133425,0.010072325,0.010011675,0.010011675,0.010011675
3,20385,385,0.0,0.0,0.01006185,0.010001175,0.010001175,0.010001175
3,23860,3860,0.01045785,0.01033355,0.010072375,0.010011725,0.010011725,0.010011725
3,20392,392,0.01024665,0.01024665,0.01006185,0.0100012,0.0100012,0.0100012
3,23939,3939,0.01045835,0.01045835,0.010072625,0.010011975,0.010011975,0.01001195
3,23985,3985,0.0,0.0,0.01007275,0.0100121,0.0100121,0.0100121
3,23992,3992,0.01013385,0.01013385,0.010072775,0.010012125,0.010012125,0.010012125
3,24004,4004,0.010334525,0.01033445,0.010072825,0.01001215,0.01001215,0.01001215
